KEY,MOSS_CODE,MOSS,DISPLAY,IS_DISPLAY
_KAISER_PERMANENTE,211,Kaiser Permanente,Kaiser Permanente,1
_KEMPER,212,Kemper,Kemper,1
_KENTUCKY_CENTRAL,213,Kentucky Central,Kentucky Central,1
_LANDMARK_AMERICAN_INSURANCE,214,Landmark American Insurance,Landmark American Insurance,1
_LEADER_INSURANCE,215,Leader Insurance,Leader Insurance,1
_LEAGUE_GENERAL,216,League General,League General,1
_LIBERTY_INSURANCE_CORP,217,Liberty Insurance Corp,Liberty Insurance Corp,1
_LIBERTY_MUTUAL,218,Liberty Mutual,Liberty Mutual,1
_LIBERTY_NATIONAL,219,Liberty National,Liberty National,1
_LIBERTY_NORTHWEST,220,Liberty Northwest,Liberty Northwest,1
_LIFEWISE_HEALTH_PLAN,430,LifeWise Health Plan,LifeWise Health Plan,1
_LINCOLN_BENEFIT_LIFE,221,Lincoln Benefit Life,Lincoln Benefit Life,1
_LTC_FINANCIAL_PARTNERS,222,LTC Financial Partners,LTC Financial Partners,1
_LUMBERMENS_MUTUAL,223,Lumbermens Mutual,Lumbermens Mutual,1
_MAPFRE,441,Mapfre,Mapfre,1
_MARATHON,224,Marathon,Marathon,1
_MARKEL_AMERICAN,225,Markel American,Markel American,1
_MARYLAND_CASUALTY,226,Maryland Casualty,Maryland Casualty,1
_MASS_MUTUAL,227,Mass Mutual,Mass Mutual,1
_MATRIX_DIRECT,436,Matrix Direct,Matrix Direct,1
_MEGA_LIFE_AND_HEALTH,228,MEGA Life and Health,MEGA Life and Health,1
_MEGA/MIDWEST,229,Mega/Midwest,Mega/Midwest,1
_MENDOTA,230,Mendota,Mendota,1
_MERASTAR,231,Merastar,Merastar,1
_MERCURY,232,Mercury,Mercury,1
_METLIFE,233,MetLife,MetLife,1
_METROPOLITAN_INSURANCE_CO.,431,Metropolitan Insurance Co.,Metropolitan Insurance Co.,1
_MID_CENTURY_INSURANCE,234,Mid Century Insurance,Mid Century Insurance,1
_MID-CONTINENT,235,Mid-Continent,Mid-Continent,1
_MIDDLESEX_INSURANCE,236,Middlesex Insurance,Middlesex Insurance,1
_MIDLAND_NATIONAL_LIFE,237,Midland National Life,Midland National Life,1
_MID-WEST_NATIONAL_LIFE_INSURANCE,456,Mid-West National Life Insurance,Mid-West National Life Insurance,1
_MIDWEST_MUTUAL,238,Midwest Mutual,Midwest Mutual,1
_MILLBANK,239,Millbank,Millbank,1
_MILLERS_MUTUAL,240,Millers Mutual,Millers Mutual,1
_MILWAUKEE,241,Milwaukee,Milwaukee,1
_MILWAUKEE_GENERAL,242,Milwaukee General,Milwaukee General,1
_MILWAUKEE_GUARDIAN,243,Milwaukee Guardian,Milwaukee Guardian,1
_MILWAUKEE_MUTUAL,244,Milwaukee Mutual,Milwaukee Mutual,1
_MINNEHOMA,245,Minnehoma,Minnehoma,1
_MISSOURI_GENERAL,246,Missouri General,Missouri General,1
_MODERN_WOODMEN_OF_AMERICA,247,Modern Woodmen of America,Modern Woodmen of America,1
_MONUMENTAL_LIFE_INSURANCE,457,Monumental Life Insurance,Monumental Life Insurance,1
_MONY_GROUP,248,Mony Group,Mony Group,1
_MORTGAGE_PROTECTION_BUREAU,249,Mortgage Protection Bureau,Mortgage Protection Bureau,1
_MOTORS,250,Motors,Motors,1
_MOUNTAIN_LAUREL,251,Mountain Laurel,Mountain Laurel,1
_MSI_INSURANCE,458,MSI Insurance,MSI Insurance,1
_MUTUAL_INSURANCE,252,Mutual Insurance,Mutual Insurance,1
_MUTUAL_OF_ENUMCLAW,253,Mutual Of Enumclaw,Mutual Of Enumclaw,1
_MUTUAL_OF_NEW_YORK,437,Mutual of New York,Mutual of New York,1
_MUTUAL_OF_OMAHA,254,Mutual Of Omaha,Mutual Of Omaha,1
_NACOLAH,459,Nacolah,Nacolah,1
_NATIONAL_ALLIANCE,255,National Alliance,National Alliance,1
_NATIONAL_BEN_FRANKLIN_INSURANCE,256,National Ben Franklin Insurance,National Ben Franklin Insurance,1
_NATIONAL_CASUALTY,257,National Casualty,National Casualty,1
_NATIONAL_COLONIAL,258,National Colonial,National Colonial,1
_NATIONAL_CONTINENTAL,259,National Continental,National Continental,1
_NATIONAL_HEALTH_INSURANCE,460,National Health Insurance,National Health Insurance,1
_NATIONAL_FIRE_INSURANCE_COMPANY_OF_HARTFORD,260,National Fire Insurance Company of Hartford,National Fire Insurance Company of Hartford,1
_NATIONAL_INDEMNITY,261,National Indemnity,National Indemnity,1
_NATIONAL_INSURANCE,262,National Insurance,National Insurance,1
_NATIONAL_MERIT,263,National Merit,National Merit,1
_NATIONAL_SURETY_CORP,264,National Surety Corp,National Surety Corp,1
_NATIONAL_UNION_FIRE_INSURANCE,265,National Union Fire Insurance,National Union Fire Insurance,1
_NATIONAL_UNION_FIRE_INSURANCE_OF_LA,266,National Union Fire Insurance of LA,National Union Fire Insurance of LA,1
_NATIONAL_UNION_FIRE_INSURANCE_OF_PA,267,National Union Fire Insurance of PA,National Union Fire Insurance of PA,1
_NATIONWIDE,268,Nationwide,Nationwide,1
_NAT'L_FARMERS_UNION,269,Nat'l Farmers Union,Nat'l Farmers Union,1
_NEW_ENGLAND_FINANCIAL,270,New England Financial,New England Financial,1
_NEW_YORK_LIFE,271,New York Life,New York Life,1
_NORTH_AMERICAN,272,North American,North American,1
_NORTH_PACIFIC,273,North Pacific,North Pacific,1
_NORTH_POINTE,274,North Pointe,North Pointe,1
_NORTH_SHORE,275,North Shore,North Shore,1
_NORTHERN_CAPITAL,276,Northern Capital,Northern Capital,1
_NORTHERN_STATES,277,Northern States,Northern States,1
_NORTHLAND,278,Northland,Northland,1
_NORTHWEST_PACIFIC,279,Northwest Pacific,Northwest Pacific,1
_NORTHWESTERN,280,Northwestern,Northwestern,1
_NORTHWESTERN_MUTUAL,281,Northwestern Mutual,Northwestern Mutual,1
_NORTHWESTERN_MUTUAL_LIFE,282,Northwestern Mutual Life,Northwestern Mutual Life,1
_NORTHWESTERN_PACIFIC_INDEMNITY,283,Northwestern Pacific Indemnity,Northwestern Pacific Indemnity,1
_NUSTAR_INSURANCE,420,NuStar Insurance,NuStar Insurance,1
_OHIO_CASUALTY,284,Ohio Casualty,Ohio Casualty,1
_OHIO_SECURITY,285,Ohio Security,Ohio Security,1
_OLYMPIA,286,Olympia,Olympia,1
_OMAHA,287,Omaha,Omaha,1
_OMNI_INS.,288,Omni Ins.,Omni Ins.,1
_OMNI_INSURANCE,289,Omni Insurance,Omni Insurance,1
_OREGON_MUTUAL,290,Oregon Mutual,Oregon Mutual,1
_ORION_INS.,291,Orion Ins.,Orion Ins.,1
_ORION_INSURANCE,292,Orion Insurance,Orion Insurance,1
_OXFORD_HEALTH_PLANS,432,Oxford Health Plans,Oxford Health Plans,1
_PACIFICARE,433,PacifiCare,PacifiCare,1
_PACIFIC_INDEMNITY,293,Pacific Indemnity,Pacific Indemnity,1
_PACIFIC_INSURANCE,294,Pacific Insurance,Pacific Insurance,1
_PAFCO,295,Pafco,Pafco,1
_PALOVERDE,296,Paloverde,Paloverde,1
_PATRIOT_GENERAL,297,Patriot General,Patriot General,1
_PEAK_PROPERTY_AND_CASUALTY_INSURANCE,298,Peak Property and Casualty Insurance,Peak Property and Casualty Insurance,1
_PEKIN_INSURANCE,461,Pekin Insurance,Pekin Insurance,1
_PEMCO,299,Pemco,Pemco,1
_PENN_AMERICA,300,Penn America,Penn America,1
_PENN_MUTUAL,301,Penn Mutual,Penn Mutual,1
_PENNSYLVANIA_NATL,302,Pennsylvania Natl,Pennsylvania Natl,1
_PHOENIX,303,Phoenix,Phoenix,1
_PHYSICIANS,304,Physicians,Physicians,1
_PINNACLE,305,Pinnacle,Pinnacle,1
_PIONEER_LIFE,306,Pioneer Life,Pioneer Life,1
_PJP_AGENCY,462,PJP Agency,PJP Agency,1
_PLYMOUTH_ROCK,422,Plymouth Rock,Plymouth Rock,1
_PREFERRED_ABSTAINERS,307,Preferred Abstainers,Preferred Abstainers,1
_PREFERRED_MUTUAL,308,Preferred Mutual,Preferred Mutual,1
_PREMIER,309,Premier,Premier,1
_PRESTIGE,310,Prestige,Prestige,1
_PRIMERICA,311,Primerica,Primerica,1
_PRINCIPAL_FINANCIAL,312,Principal Financial,Principal Financial,1
_PROGRESSIVE,313,Progressive,Progressive,1
_PROTECTIVE_LIFE,314,Protective Life,Protective Life,1
_PROVIDENT,315,Provident,Provident,1
_PRUDENTIAL,316,Prudential,Prudential,1
_QUALITY,317,Quality,Quality,1
_RAMSEY,318,Ramsey,Ramsey,1
_RANGER,319,Ranger,Ranger,1
_RBC_LIBERTY,320,RBC Liberty,RBC Liberty,1
_RBC_LIBERTY_INSURANCE,321,RBC Liberty Insurance,RBC Liberty Insurance,1
_REGAL,322,Regal,Regal,1
_RELIANCE,323,Reliance,Reliance,1
_RELIANT,324,Reliant,Reliant,1
_REPUBLIC_INDEMNITY,325,Republic Indemnity,Republic Indemnity,1
_RESPONSE_INSURANCE,326,Response Insurance,Response Insurance,1
_ROCKFORD_MUTUAL,327,Rockford Mutual,Rockford Mutual,1
_RODNEY_D._YOUNG,328,Rodney D. Young,Rodney D. Young,1
_SAFECO,330,Safeco,Safeco,1
_SAFEGUARD,421,Safeguard,Safeguard,1
_SAFEWAY,331,Safeway,Safeway,1
_SAMMONS_INSURANCE,463,Sammons Insurance,Sammons Insurance,1
_SEA_WEST_INSURANCE,332,Sea West Insurance,Sea West Insurance,1
_SECURA,333,Secura,Secura,1
_SECURITY_INSURANCE,334,Security Insurance,Security Insurance,1
_SECURITY_NATIONAL,335,Security National,Security National,1
_SEDGWICK_JAMES,336,Sedgwick James,Sedgwick James,1
_SENTINEL_INSURANCE,337,Sentinel Insurance,Sentinel Insurance,1
_SENTRY,338,Sentry,Sentry,1
_SHELTER,339,Shelter,Shelter,1
_SKANDIA_TIG_TITA,340,Skandia TIG Tita,Skandia TIG Tita,1
_SPECTRUM,341,Spectrum,Spectrum,1
_ST._PAUL,342,St. Paul,St. Paul,1
_STANDARD_FIRE_INSURANCE_COMPANY,343,Standard Fire Insurance Company,Standard Fire Insurance Company,1
_STANDARD_GUARANTY,344,Standard Guaranty,Standard Guaranty,1
_STATE_AND_COUNTY_MUTUAL_FIRE_INSURANCE,345,State and County Mutual Fire Insurance,State and County Mutual Fire Insurance,1
_STATE_AUTO,346,State Auto,State Auto,1
_STATE_FARM,347,State Farm,State Farm,1
_STATE_MUTUAL,348,State Mutual,State Mutual,1
_STATE_NATIONAL,349,State National,State National,1
_SUN_COAST,350,Sun Coast,Sun Coast,1
_SUPERIOR,351,Superior,Superior,1
_SUPERIOR_GUARANTY_INSURANCE,352,Superior Guaranty Insurance,Superior Guaranty Insurance,1
_SURE_HEALTH_PLANS,353,Sure Health Plans,Sure Health Plans,1
_SUTTER,354,Sutter,Sutter,1
_THE_AHBE_GROUP,355,The Ahbe Group,The Ahbe Group,1
_THE_ANNEXUS_GROUP,464,The Annexus Group,The Annexus Group,1
_THE_CREDO_GROUP,356,The Credo Group,The Credo Group,1
_THE_GENERAL,357,The General,The General,1
_TICO_INSURANCE,358,TICO Insurance,TICO Insurance,1
_TIG_COUNTRYWIDE_INSURANCE,359,TIG Countrywide Insurance,TIG Countrywide Insurance,1
_TIME_INSURANCE,465,Time Insurance,Time Insurance,1
_TITAN,360,Titan,Titan,1
_TOTAL,361,Total,Total,1
_TOWER,362,Tower,Tower,1
_TRANSAMERICA,363,TransAmerica,TransAmerica,1
_TRAVELERS,364,Travelers,Travelers,1
_TRINITY_UNIVERSAL,365,Trinity Universal,Trinity Universal,1
_TRI-STATE_CONSUMER,366,Tri-State Consumer,Tri-State Consumer,1
_TRUST_HALL,367,Trust Hall,Trust Hall,1
_TUFTS_HEALTH_PLAN,434,Tufts Health Plan,Tufts Health Plan,1
_TWENTIETH_CENTURY,368,Twentieth Century,Twentieth Century,1
_TWIN_CITY_FIRE_INSURANCE,369,Twin City Fire Insurance,Twin City Fire Insurance,1
_UNICARE,370,Unicare,Unicare,1
_UNIGUARD,371,Uniguard,Uniguard,1
_UNION,372,Union,Union,1
_UNITED_AMERICAN,373,United American,United American,1
_UNITED_FINANCIAL,374,United Financial,United Financial,1
_UNITED_FIRE_&_CASUAL,375,United Fire & Casual,United Fire & Casual,1
_UNITED_HEALTH_CARE_(ALSO_GOLDEN_RULE),376,United Health Care (also Golden Rule),United Health Care (also Golden Rule),1
_UNITED_INSURANCE,377,United Insurance,United Insurance,1
_UNITED_PACIFIC_INSURANCE,438,United Pacific Insurance,United Pacific Insurance,1
_UNITED_SECURITY,378,United Security,United Security,1
_UNITED_SERVICES_AUTO,379,United Services Auto,United Services Auto,1
_UNITED_STATES_FIDELI,380,United States Fideli,United States Fideli,1
_UNITRIN,381,Unitrin,Unitrin,1
_UNIVERSAL_UNDERWRITERS_INSURANCE,382,Universal Underwriters Insurance,Universal Underwriters Insurance,1
_US_FINANCIAL,383,US Financial,US Financial,1
_US_HEALTH_ADVISORS,384,US Health Advisors,US Health Advisors,1
_US_HEALTH_GROUP,439,US Health Group,US Health Group,1
_USA_BENEFITS/CONTINENTAL_GENERAL,385,USA Benefits/Continental General,USA Benefits/Continental General,1
_USAA,386,USAA,USAA,1
_USF_AND_G,387,USF and G,USF and G,1
_USF&G,388,USF&G,USF&G,1
_UTAH_HOME_AND_FIRE,389,Utah Home and Fire,Utah Home and Fire,1
_UTICA,390,Utica,Utica,1
_VASA_NORTH_ATLANTIC,391,Vasa North Atlantic,Vasa North Atlantic,1
_VIGILANT,392,Vigilant,Vigilant,1
_VIKING,393,Viking,Viking,1
_VISTA_HEALTH_PLAN,466,Vista Health Plan,Vista Health Plan,1
_WAWAUNESA,394,Wawaunesa,Wawaunesa,1
_WELLINGTON,395,Wellington,Wellington,1
_WELLPOINT,396,Wellpoint,Wellpoint,1
_WEST_AMERICAN,397,West American,West American,1
_WEST_BEND_MUTUAL,398,West Bend Mutual,West Bend Mutual,1
_WEST_FIELD,399,West Field,West Field,1
_WEST_PLAINS,400,West Plains,West Plains,1
_WESTERN_AND_SOUTHERN_LIFE,401,Western and Southern Life,Western and Southern Life,1
_WESTERN_MUTUAL,402,Western Mutual,Western Mutual,1
_WESTERN_NATIONAL,403,Western National,Western National,1
_WESTERN_SOUTHERN_LIFE,404,Western Southern Life,Western Southern Life,1
_WESTFIELD,405,Westfield,Westfield,1
_WILLIAM_PENN,406,William Penn,William Penn,1
_WINDSOR,407,Windsor,Windsor,1
_WINDSTAR,408,Windstar,Windstar,1
_WISCONSIN_MUTUAL,409,Wisconsin Mutual,Wisconsin Mutual,1
_WOODLANDS_FINANCIAL_GROUP,410,Woodlands Financial Group,Woodlands Financial Group,1
_WORKMANS_AUTO,411,Workmans Auto,Workmans Auto,1
_WORLD_INSURANCE,412,World Insurance,World Insurance,1
_WORLDWIDE,413,Worldwide,Worldwide,1
_YELLOW_KEY,414,Yellow Key,Yellow Key,1
_YOSEMITE,415,Yosemite,Yosemite,1
_ZURICH_NORTH_AMERICA,416,Zurich North America,Zurich North America,1
_COMPANY_NOT_LISTED,110,Company Not Listed,Company Not Listed,1